orgName,planName,resourceName,resourceLink,uid,localPath,status,bytes
農業部,農村社區綠色照顧計畫,農村社區綠色照顧計畫徵件說明,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/1701830310.pdf,d8c5a0b1-7429-4ed1-90e8-dd43ee4058e7,,failed: HTTP 403,0
屏東縣政府,社區營造及村落文化發展計畫,社區營造點徵選補助計畫,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/483830584.pdf,77af1900-c1b1-473e-8ed1-b59435a4068e,,failed: HTTP 403,0
高雄市政府,社區營造點主題徵選計畫,高雄市政府文化局113年度社區營造點主題徵選計畫,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/269873880.pdf,0269f974-0d0f-4bdb-8ee1-5eb4a787a719,,failed: HTTP 403,0
高雄市政府,社區營造實施計畫,113年度高雄市社區營造實施計畫_修正版20231228145029-7,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/400461848.pdf,36f06080-0e8a-4505-8240-8b9461a827df,,failed: HTTP 403,0
國家通訊傳播委員會,基礎寬頻- 普及偏鄉寬頻接取基礎建設計畫,強化偏鄉地區 5G 寬頻服務與涵蓋－普及偏鄉寬頻接取環境計畫,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/986133469.pdf,9ff4fea9-8420-4b50-9623-d83c6cfb0e8f,,failed: HTTP 403,0
農業部,輔導國產農產品創新行銷計畫,輔導國產農產品創新行銷計畫審查作業規範,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/152421197.pdf,4feae273-65e4-4fe4-83d5-0be73e113df9,,failed: HTTP 403,0
農業部,輔導設置農村社區農產品銷售據點計畫,農村產業跨域計畫及農村區域亮點計畫主軸及發展區域_113年度,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/711083526.pdf,0c05e7df-18a7-452c-bd71-e8d506911980,,failed: HTTP 403,0
農業部,農村產業跨域計畫及農村區域亮點計畫,農村產業跨域計畫及農村區域亮點計畫主軸及發展區域_113年度,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/265424368.pdf,f4faf96c-a0e1-42f2-9af1-519e2b6b7f4c,,failed: HTTP 403,0
文化部,推動國家文化記憶庫計畫,文化部「國家文化記憶庫及數位加值應用計畫」,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/246294319.pdf,94b8b594-a263-4cba-bf86-1de9553682cf,,failed: HTTP 403,0
農業部,地方創生農山漁村發展建設,發展進化地方創生，前瞻提升農山漁村(pdf),https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/2097216199.pdf,5cf671da-68c3-4ce6-b3b1-dfa0195e343c,,failed: HTTP 403,0
原住民族委員會,推動原住民族多元產業發展 2.0 計畫,前瞻基礎建設計畫－城鄉建設－推動原住民族多元產業發展2,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/435008314.pdf,5c661ee8-5d1d-411d-991f-14b69328f317,,failed: HTTP 403,0
教育部,補助地方政府打造地方創生區域性青聚點,補助地方政府打造地方創生區域性青聚點申請作業須知(核定),https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/1907585643.pdf,2cea26fb-cb23-429c-b862-206191dd055a,,failed: HTTP 403,0
國家發展委員會,青年培力工作站,113年度青年培力工作站申請須知v8_Final,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/504906741.pdf,7c8eed18-b6fb-472a-b920-5a91d7323340,,failed: HTTP 403,0
交通部,公路公共運輸服務升級計畫 (110-113),公路公共運輸服務升級計畫提案原則,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/2032525196.pdf,ee671b1a-c7a9-4d90-9cdb-dc8c64e4559c,,failed: HTTP 403,0
交通部,公路公共運輸服務升級計畫 (110-113),公路公共運輸服務升級計畫提案原則,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/522819534.pdf,ee671b1a-c7a9-4d90-9cdb-dc8c64e4559c,,failed: HTTP 403,0
交通部,觀光局及所屬國家風景區管理處補助 機關（構）團體辦理觀光活動或計畫,交通部觀光署及所屬國家風景區管理處補助機關(構)團體辦理觀光活動或計畫相關作業規定暨經費申領作業表件,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/222318214.doc,4ca16104-3791-4e94-9e77-85f366c03322,,failed: HTTP 403,0
原住民族委員會,原民部落營造計畫,原民部落營造計畫,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2024/896680851.pdf,479f23a9-20c1-4f6c-8716-5120e186f479,,failed: HTTP 403,0
原住民族委員會,原民部落營造計畫-服務據點周邊及部落內公共設施改善計畫,服務據點周邊及部落內公共設施改善第三期申請須知-核定,https://www.twrr.ndc.gov.tw/core-api/resource/repo/2022/2000407871.pdf,1b66ca29-d711-4072-8554-9cff27a6d8e8,,failed: HTTP 403,0
